x (m);Ei(eV);D+flux (m-2s-1)
-1.04E-01;0.90727;1.63787E+21
-9.21E-02;0.74587;2.74745E+21
-8.06E-02;0.88565;7.0563E+21
-6.94E-02;1.25343;1.5213E+22
-5.85E-02;1.37875;2.26151E+22
-4.80E-02;1.91951;4.9342E+22
-3.81E-02;2.02929;7.81537E+22
-2.89E-02;2.27768;1.22842E+23
-2.05E-02;2.31321;1.58618E+23
-1.32E-02;2.60899;2.29594E+23
-6.95E-03;2.71456;2.82503E+23
-2.08E-03;3.00386;3.46056E+23
4.33E-03;2.83755;3.89302E+23
1.53E-02;3.36484;5.49415E+23
3.07E-02;5.0616;1.05865E+24
5.04E-02;9.0637;8.87908E+23
7.45E-02;10.1779;5.07943E+23
1.03E-01;11.0273;3.72507E+23
1.37E-01;12.4827;2.76932E+23
1.76E-01;13.4355;1.8834E+23
2.23E-01;15.1924;1.35018E+23
2.78E-01;16.411;7.15998E+22
3.35E-01;18.8281;6.55196E+22
3.99E-01;19.3674;3.00278E+22
5.21E-01;19.2356;9.09386E+21
6.81E-01;22.0663;6.53013E+21
8.47E-01;29.0291;3.97918E+21
9.89E-01;41.9287;3.62698E+21
1.08E+00;46.803;3.84709E+21
1.14E+00;51.1798;3.09962E+21
1.19E+00;51.6092;3.56185E+21
1.22E+00;52.1295;2.78833E+21
1.25E+00;50.7047;2.09521E+21
1.28E+00;48.7618;1.54562E+21
1.30E+00;45.9823;1.09671E+21
1.31E+00;40.0416;6.96872E+20
