divertor_x,divertor_y,firstwall_x,firstwall_y,seperatrix_x,seperatrix_y
3.9887725963159015,-2.4030205447071555,4.242321969544396,-2.4443346766927494,4.175875497929841,-3.5917685492778286
4.305571514279112,-2.5068146694000237,4.32704053186009,-2.3816172464453267,4.768354239850075,-3.3613523763893784
4.431960364890619,-2.673495822583279,4.390731032026508,-2.2772125680777933,5.085759471531874,-3.2356800783543864
4.473796011473321,-2.8403126543609005,4.076467607795584,-1.2138315847047814,5.636016730866668,-2.9844711608787744
4.451996277318567,-3.0906735806217043,4.088814359883232,3.4589392053898322,6.18643934848835,-2.6706804917501064
4.388195538294224,-3.236799426757937,4.110558974609024,3.6884395477662855,6.5674799609076056,-2.4614640992319323
4.091046696756222,-3.6962071472939524,4.53525417476675,4.4192383766904175,6.842884187719815,-2.2315567210723692
4.343989756266125,-3.9669877020074082,4.937543327051132,4.670209856625885,7.24544893714901,-1.8762823217151468
4.428653199152856,-3.925130855644335,5.487194272667335,4.69195235137364,7.415161658925213,-1.646544541798546
4.535391973339157,-3.528610163598705,5.803993190630544,4.588158226680772,7.796973943349946,-1.1452799748994593
4.7258020406908585,-3.465723135108318,7.175171665221549,3.526473225737382,8.009569580859141,-0.6860079329578141
4.95821311291215,-3.507071186742504,7.638781182226951,2.9848442770132904,8.137777372626418,-0.16428981795748498
5.127099043253912,-3.590242165091169,7.891393525163077,2.5889002189937314,8.223708562379292,0.35736045774565817
5.274571075443658,-3.77774998251018,8.164703213674706,2.0261054095479567,8.245949251965747,0.7746060550812688
5.040892256356225,-4.2161953602160676,8.353459698157526,1.4631749215078136,8.100185922073846,1.608791972915161
5.061754960218612,-4.320464359989229,8.457883456327393,0.9835510904107041,7.700707860666562,2.421710271081592
5.5687985872466355,-4.423953207844766,8.456340112316436,0.39945474164887607,7.448150637159398,2.8385149129855014
5.569460020394188,-4.173626201232555,8.370464041992523,-0.10133495016991567,6.815710309241196,3.4841754239426086
5.591700709980644,-3.756380603896943,8.008742789424701,-0.9989166912230782,6.478103806844561,3.7130991322929896
5.5923070236992345,-3.526914181169083,7.711208111883962,-1.60434849894955,6.22483003076088,3.858716183700338
5.762240223191287,-3.21373406571508,6.43954776628514,-2.878879294810506,5.633508796848864,4.066372272383258
5.952705409971952,-3.129986453340342,6.397050686554886,-2.9623894696450943,5.2318810777120355,4.065727799060001
6.185392079338058,-3.0670315855527726,6.460189992431679,-3.0665906301210715,5.062554191938572,3.9820141063338585
6.460189992431679,-3.0665906301210715,,,4.87197876629998,3.856545326190421
6.586854440188,-3.1289688638825677,,,4.617382123921196,3.501508364373345
,,,,4.468256508862568,3.0631986652618277
,,,,4.38265603568347,2.6667118928647895
,,,,4.318193863511574,2.270259040116345
,,,,4.274980231204804,1.9155612747851931
,,,,4.2313256434663336,1.3939788383792342
,,,,4.229947657742266,0.8724642412704595
,,,,4.228349194302347,0.26750730862428274
,,,,4.332001280466734,-0.5041646968537403
,,,,4.415176498771473,-1.0255436153681448
,,,,4.519490018083412,-1.5468886142339553
,,,,4.728833609283808,-2.318391021469017
,,,,4.917755452053517,-2.8187397578561075
,,,,5.148733419121777,-3.402462990483418
,,,,5.337985978465263,-3.7776482235644018
,,,,5.48507217465227,-4.111180128173871
,,,,5.590212485398651,-4.319616368774417
